rank,school_name,school_type,location,school_code,homepage,food_photo_url,estimated_posts
71,광명광성초등학교,초등학교,경기도 광명시 철산로 59,7591016,https://kwangsung-e.goegm.kr/kwangsung-e/main.do,https://kwangsung-e.goegm.kr/kwangsung-e/ad/fm/foodmenu/selectFoodMenuView.do?mi=3160,2
72,광명동초등학교,초등학교,경기도 광명시 연서일로 25,7591019,https://kmd-e.goegm.kr/,https://kmd-e.goegm.kr/kmd-e/ad/fm/foodmenu/selectFoodMenuView.do?mi=6665,2
73,광명북중학교,중학교,경기도 광명시 시청로 121,7591005,https://gmbuk-m.goegm.kr,https://gmbuk-m.goegm.kr/gmbuk-m/ad/fm/foodmenu/selectFoodMenuView.do?mi=4447,2
74,광명북초등학교,초등학교,경기도 광명시 시청로138번길 8,7591020,https://kmb-e.goegm.kr,https://kmb-e.goegm.kr/kmb-e/ad/fm/foodmenu/selectFoodMenuView.do?mi=2432,2
75,광명중학교,중학교,경기도 광명시 오리로876번길 27,7591006,https://km-m.goegm.kr,https://km-m.goegm.kr/km-m/ad/fm/foodmenu/selectFoodMenuView.do?mi=4563,2
76,광문고등학교,고등학교,경기도 광명시 원광명안로 39,7530053,https://kmoon-h.goegm.kr/,https://kmoon-h.goegm.kr/kmoon-h/ad/fm/foodmenu/selectFoodMenuView.do?mi=5216,2
77,광문초등학교,초등학교,경기도 광명시 덕단이로 29,7591022,https://kmoon-e.goegm.kr/kmoon-e/main.do,https://kmoon-e.goegm.kr/kmoon-e/ad/fm/foodmenu/selectFoodMenuView.do?mi=5452,2
78,광일초등학교,초등학교,경기도 광명시 목감로 34-6,7591023,https://kwangil-e.goegm.kr/,https://kwangil-e.goegm.kr/kwangil-e/ad/fm/foodmenu/selectFoodMenuView.do?mi=2596,2
79,광탄중학교,중학교,경기도 파주시 광탄면 혜음로 1128,7681012,https://kwangtan-m.goepj.kr,https://kwangtan-m.goepj.kr/kwangtan-m/ad/fm/foodmenu/selectFoodMenuView.do?mi=5423,2
80,구운중학교,중학교,경기도 수원시 권선구 금호로 257,7541015,http://guwoon-m.goesw.kr,http://guwoon-m.goesw.kr/guwoon-m/ad/fm/foodmenu/selectFoodMenuView.do?mi=1500,2
81,교문중학교,중학교,경기도 구리시 장자대로37번길 15,7652016,http://gyomun-m.goegn.kr,http://gyomun-m.goegn.kr/gyomun-m/ad/fm/foodmenu/selectFoodMenuView.do?mi=3709,2
82,구운초등학교,초등학교,경기도 수원시 권선구 여기산로 29,7541070,http://guun-e.goesw.kr/,http://guun-e.goesw.kr/guun-e/ad/fm/foodmenu/selectFoodMenuView.do?mi=7147,2
83,교문초등학교,초등학교,경기도 구리시 안골로19번길 16,7652017,http://gyomun-e.goegn.kr,http://gyomun-e.goegn.kr/gyomun-e/ad/fm/foodmenu/selectFoodMenuView.do?mi=10271,2
84,교하고등학교,고등학교,경기도 파주시 책향기로 180,7530774,https://gyoha-h.goepj.kr,https://gyoha-h.goepj.kr/gyoha-h/ad/fm/foodmenu/selectFoodMenuView.do?mi=5966,2
85,교하중학교,중학교,경기도 파주시 책향기로 194,7681004,https://kyoha-m.goepj.kr,https://kyoha-m.goepj.kr/kyoha-m/ad/fm/foodmenu/selectFoodMenuView.do?mi=5521,2
86,구리여자중학교,중학교,경기도 구리시 벌말로 168,7652019,http://gurigirl-m.goegn.kr,http://gurigirl-m.goegn.kr/gurigirl-m/ad/fm/foodmenu/selectFoodMenuView.do?mi=3461,2
87,구리초등학교,초등학교,경기도 구리시 경춘로276번길 51,7652021,http://guri-e.goegn.kr,http://guri-e.goegn.kr/guri-e/ad/fm/foodmenu/selectFoodMenuView.do?mi=14219,2
88,군포신기초등학교,초등학교,경기도 군포시 삼성로28번길 3,7642128,http://gunposingicho.goegu.kr,http://gunposingicho.goegu.kr/gunposingicho/ad/fm/foodmenu/selectFoodMenuView.do?mi=7401,2
89,군포양정초등학교,초등학교,경기도 군포시 오금로 131,7642008,http://gunpoyangjeongcho.goegu.kr,http://gunpoyangjeongcho.goegu.kr/gunpoyangjeongcho/ad/fm/foodmenu/selectFoodMenuView.do?mi=1783,2
